Day,Period,CPL_benchmark,Daily_budget,Daily_leads,inv_CPL_weight
1,Calendar week 1,14.25,102.5670,7.1977,0.03355
2,Calendar week 1,14.25,102.5670,7.1977,0.03355
3,Calendar week 1,14.25,102.5670,7.1977,0.03355
4,Calendar week 1,14.25,102.5670,7.1977,0.03355
5,Calendar week 1,14.25,102.5670,7.1977,0.03355
6,Calendar week 1,14.25,102.5670,7.1977,0.03355
7,Calendar week 1,14.25,102.5670,7.1977,0.03355
8,Calendar week 2,13.39,109.1546,8.1519,0.03571
9,Calendar week 2,13.39,109.1546,8.1519,0.03571
10,Calendar week 2,13.39,109.1546,8.1519,0.03571
11,Calendar week 2,13.39,109.1546,8.1519,0.03571
12,Calendar week 2,13.39,109.1546,8.1519,0.03571
13,Calendar week 2,13.39,109.1546,8.1519,0.03571
14,Calendar week 2,13.39,109.1546,8.1519,0.03571
15,Calendar week 3,10.19,143.4327,14.0758,0.04692
16,Calendar week 3,10.19,143.4327,14.0758,0.04692
17,Calendar week 3,10.19,143.4327,14.0758,0.04692
18,Calendar week 3,10.19,143.4327,14.0758,0.04692
19,Calendar week 3,10.19,143.4327,14.0758,0.04692
20,Calendar week 3,10.19,143.4327,14.0758,0.04692
21,Calendar week 3,10.19,143.4327,14.0758,0.04692
22,Rest of month,23.05,63.4091,2.7509,0.02074
23,Rest of month,23.05,63.4091,2.7509,0.02074
24,Rest of month,23.05,63.4091,2.7509,0.02074
25,Rest of month,23.05,63.4091,2.7509,0.02074
26,Rest of month,23.05,63.4091,2.7509,0.02074
27,Rest of month,23.05,63.4091,2.7509,0.02074
28,Rest of month,23.05,63.4091,2.7509,0.02074
29,Rest of month,23.05,63.4091,2.7509,0.02074
30,Rest of month,23.05,63.4091,2.7509,0.02074
